,risk_tolerance,investment_experience,liquidity_needs,platform,time_spent,instrument_type_first_traded,first_deposit_amount,time_horizon,user_id,churn_flag,deposit_per_time,equity_volatility,avg_rolling_5day_avg,sd_rolling_5day_avg,avg_rolling_5day_sum,sd_rolling_5day_sum,avg_equity_growth_rate,equity_volatility_growth_rate,total_active_days,avg_equity,equity_delta_start_to_end,ndays_from_2017_08_18,max_streak_duration
0,high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,33.1294166667,stock,40.0,med_time_horizon,895044c23edc821881e87da749c01034,0,1.1720094835089259,10.739413536491162,95.51225263157896,123.77479317751609,477.56126315789476,618.8739658875808,0.005818176134234499,0.07845378436306896,190,77.11852631578948,42.6,0,5
1,med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,16.5735166667,stock,200.0,short_time_horizon,458b1d95441ced242949deefe8e4b638,0,11.380761391883466,26.057861646968213,375.6010688888889,192.96747664324926,1878.0053444444445,964.8373832162457,0.0007152091822775134,0.008134107786103639,252,351.4114682539683,60.18000000000001,1,5
2,med_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,10.0083666667,stock,25.0,long_time_horizon,c7936f653d293479e034865db9bb932f,0,2.270999936405125,0.0,50.960857777777775,13.577012987987178,254.8042888888889,67.88506493993589,0.0,0.0,252,49.24,0.0,1,5
3,med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,1.03163333333,stock,100.0,short_time_horizon,b255d4bd6c9ba194d3a350b3e76c6393,0,49.22148025406359,11.96771019222764,307.405944055944,714.1977842311421,1537.0297202797203,3570.9889211557092,0.006780037757008033,0.08815628179971782,143,186.0402797202797,88.25,0,5
4,high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,8.18725,stock,20.0,long_time_horizon,4a168225e89375b8de605cbc0977ae91,0,2.176929984489374,146.78995491823727,207.37561904761907,146.32675508133048,1036.8780952380953,731.6337754066526,0.008798693420486012,0.10794225974747516,252,208.75336507936507,103.75999999999999,0,5
5,med_risk_tolerance,no_investment_exp,not_important_liq_need,iOS,12.9681166667,stock,100.0,med_time_horizon,0322b1d744cc89ebbe6ebe70d824d922,0,7.159161280375047,262.03625063614476,405.3663754716981,258.38535124737325,2026.8318773584906,1291.926756236866,0.04170617581969167,0.25148423042473383,53,413.5833867924528,132.87,163,5
6,low_risk_tolerance,good_investment_exp,very_important_liq_need,Android,30.7100833333,stock,5.0,long_time_horizon,f4cac8c1544b723ddedc9bdba81c64c0,1,0.15767855124963687,358.65448388382134,363.40052044444445,340.0674296923714,1817.002602222222,1700.3371484618572,0.0748358081617247,0.836463191431276,225,364.78431422222224,-90.05,0,5
7,high_risk_tolerance,good_investment_exp,somewhat_important_liq_need,iOS,0.0,stock,100.0,short_time_horizon,bdc39d2fc664ef9a5e6713168057f892,0,100.0,145.57642717209816,1048.9059035087719,202.6474657737679,5244.52951754386,1013.2373288688387,0.4503760390445397,4.760889863189967,114,1073.4191666666668,1128.34,2,5
8,high_risk_tolerance,good_investment_exp,very_important_liq_need,iOS,0.0,stock,5000.0,short_time_horizon,85f2f0f54411b4f3e7a403ba902e7280,0,5000.0,394.17020284742586,7390.08762031746,995.4255678036621,36950.4381015873,4977.127839018309,0.00042546745703502854,0.04721402377679578,252,7506.529007936509,-1076.8449999999993,2,5
9,med_risk_tolerance,no_investment_exp,very_important_liq_need,Android,2.96961666667,stock,11.0,med_time_horizon,529ddd19dac72d55cde8e633340a9aed,0,2.771048421969568,48.61823965069533,83.95433544303798,48.09498669924068,419.77167721518987,240.47493349620333,0.019245217504777982,0.18135539211517337,158,84.20300632911393,19.06,17,5
